Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"SD Yadav","Optimizing Kubernetes Security through automated Policy Enforcement in Multi-Cloud Environment",2025,"","norma.ncirl.ie","https://norma.ncirl.ie/8166/","",1,"2026-05-16 00:43:36","","","",,,,,,0,0.00,0,1,1,"… ability to adapt to multi-cloud environments, exposing the … a dynamic solution to the Kubernetes security complications. The … security of Kubernetes clusters in multi-cloud environments. …","https://norma.ncirl.ie/8166/1/sohamdeepakyadav.pdf","https://scholar.google.com/scholar?q=related:inwQl6BVeuwJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"JA Whitaker, DR Cole, ML Bennett, EM Harper…","Automated Cloud Security Posture Management for Multi-Cloud Environments",2022,"","researchgate.net","https://www.researchgate.net/profile/Dorcas-Esther/publication/394474022_Automated_Cloud_Security_Posture_Management_for_Multi-Cloud_Environments/links/689d58028510512072c816a5/Automated-Cloud-Security-Posture-Management-for-Multi-Cloud-Environments.pdf","",2,"2026-05-16 00:43:36","PDF","","",,,,,,0,0.00,0,5,4,"… We developed a reference implementation of an automated multi-cloud CSPM pipeline and tested it against controlled lab environments modeled after common enterprise deployment …","https://www.researchgate.net/profile/Dorcas-Esther/publication/394474022_Automated_Cloud_Security_Posture_Management_for_Multi-Cloud_Environments/links/689d58028510512072c816a5/Automated-Cloud-Security-Posture-Management-for-Multi-Cloud-Environments.pdf","https://scholar.google.com/scholar?q=related:0Q_du7FXZCwJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
3,"R Maxwell","Managing kubernetes workloads in hybrid or multi-cloud data centers",2024,"… and Administration of Multi-cloud and Hybrid IT Estates","Springer","https://link.springer.com/chapter/10.1007/978-1-4842-9480-2_6","https://scholar.google.com/scholar?cites=13581673089411729405&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-16 00:43:36","","10.1007/978-1-4842-9480-2_6","",,,,,,3,1.50,3,1,2,"… Anthos also claims to cover multi-cloud and edge computing scenarios and now competes … of simplifying the management of large multi-cloud Kubernetes installations Footnote 28 and …","","https://scholar.google.com/scholar?q=related:_UfeTbfLe7wJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
6,"ME Colotti","Enhancing Multi-cloud Security with Policy as Code and a Cloud Native Application Protection Platform",2023,"","webthesis.biblio.polito.it","https://webthesis.biblio.polito.it/28623/?template=default","https://scholar.google.com/scholar?cites=17893098903218131553&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-16 00:43:36","","","",,,,,,6,2.00,6,1,3,"… of Multi-Cloud strategies by … Multi-Cloud Security, discussing some solutions proposed in the literature and demonstrating the design and showcasing a realistic enterprise Multi-Cloud …","https://webthesis.biblio.polito.it/28623/1/tesi.pdf","https://scholar.google.com/scholar?q=related:YZI_maYOUfgJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
1,"C Raftopoulos","Cloud security with Docker and Kubernetes",2025,"","dione.lib.unipi.gr","https://dione.lib.unipi.gr/xmlui/handle/unipi/17520","https://scholar.google.com/scholar?cites=5872168492952702311&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-16 00:43:36","","","",,,,,,1,1.00,1,1,1,"… This thesis focuses also on Kubernetes security, detailing authentication mechanisms, … Multi-Cloud Multi-cloud environments involve using multiple cloud providers simultaneously …","https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/17520/Raftopoulos_2319.pdf?sequence=1","https://scholar.google.com/scholar?q=related:Z82v2yEiflEJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
6,"A Gulli","Google Anthos in Action: Manage hybrid and multi-cloud Kubernetes clusters",2023,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=REDHEAAAQBAJ&oi=fnd&pg=PA1&dq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&ots=vRu79t3SZH&sig=tKgbGGnybLlzORbJFepAFgIdtWc","https://scholar.google.com/scholar?cites=16506339755162350330&as_sdt=2005&sciodt=2007&hl=en",6,"2026-05-16 00:43:36","BOOK","","",,,,,,6,2.00,6,1,3,"… Unregulated companies find multicloud necessary for providing developers’ choice and access to innovative services. Opportunities for running services and providing greater …","","https://scholar.google.com/scholar?q=related:-jJckI1MEuUJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"R Sannapureddy, S Nelavelli","Multi-Cloud and Hybrid Cloud Security Frameworks",2023,"American International Journal of …","aijcst.org","https://aijcst.org/index.php/aijcst/article/view/178","",7,"2026-05-16 00:43:36","","","",,,,,,0,0.00,0,2,3,"… While hybrid and multi-cloud strategies offer strategic advantages, they pose significant security-governance challenges. Research has found that multi-cloud environments by their very …","https://aijcst.org/index.php/aijcst/article/download/178/164","https://scholar.google.com/scholar?q=related:yoRLEqolCKIJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
4,"S Amgothu, G Kankanala","Enhancing kubernetes security: Securing workloads and optimizing role-based access control",2024,"International Journal of Computer …","researchgate.net","https://www.researchgate.net/profile/Sudheer-Amgothu/publication/387441124_Enhancing_Kubernetes_Security_Securing_Workloads_and_Optimizing_Role-based_Access_Control/links/676dfc38117f340ec3da5b82/Enhancing-Kubernetes-Security-Securing-Workloads-and-Optimizing-Role-Based-Access-Control.pdf","https://scholar.google.com/scholar?cites=17569782465600498406&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-16 00:43:36","PDF","","",,,,,,4,2.00,2,2,2,"… This can include managing multiple teams, cross-platform security policies and the implications of hybrid and multi-cloud environments. —Real-world attack scenarios: To further verify …","https://www.researchgate.net/profile/Sudheer-Amgothu/publication/387441124_Enhancing_Kubernetes_Security_Securing_Workloads_and_Optimizing_Role-based_Access_Control/links/676dfc38117f340ec3da5b82/Enhancing-Kubernetes-Security-Securing-Workloads-and-Optimizing-Role-Based-Access-Control.pdf","https://scholar.google.com/scholar?q=related:5ioBUxBo1PMJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"RK Rout","Kubernetes Security Best Practices",2025,"","norma.ncirl.ie","https://norma.ncirl.ie/id/eprint/8147","",9,"2026-05-16 00:43:36","","","",,,,,,0,0.00,0,1,1,"… Service, organizations should consider native Kubernetes security issues as well as cloud-hosted … As a result, the threats and potential barriers to and trends in Kubernetes security, as …","https://norma.ncirl.ie/8147/1/riteshkumarrout.pdf","https://scholar.google.com/scholar?q=related:DuoRJuBmpBsJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
13,"M Femminella, M Palmucci, G Reali…","Attribute-based management of secure Kubernetes cloud bursting",2024,"IEEE Open Journal of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10440131/","https://scholar.google.com/scholar?cites=11218230145462991221&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-16 00:43:36","","","",,,,,,13,6.50,3,4,2,"In modern cloud computing, the need for flexible and scalable orchestration of services, combined with robust security measures, is paramount. In this paper, we propose an innovative …","https://ieeexplore.ieee.org/iel7/8782661/8901158/10440131.pdf","https://scholar.google.com/scholar?q=related:dXnmbOEor5sJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22multi+cloud%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
