"Title,""Authors"",""Year"",""Source"",""Cites"",""Query"",""Stage"",""TA_Decision"",""TA_Reason"",""Q1"",""Q2"",""Q3"",""Q4"",""Q5"",""Total"",""KH_Decision"",""Abstract""";;;
"Securing the Supply Chain: Automated Defenses Against Emerging Cyber Risks,""A Mavi"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""As supply chain networks become more complex, they’re also becoming more vulnerable to cybersecurity threats. To stay secure, organizations need more than just automated tools …""";;;
"Visualization of vulnerabilities in open source software dependencies,""M Groman"",""2023.0"","""",""2"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… According to the report by Sonatype, there has been an increase of supply chain attacks by … we must create aggregate SBOM to include all sub-projects into one SBOM file. See Listing …""";;;
"Comparing software supply chain protection approaches,""CEM Zottmann, TMS do Amaral…"",""2023.0"",""2023 Workshop on …"",""6"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""Software supply chain attacks are not entirely new. Still, in recent years, a series of relevant high-impact incidents demonstrated they evolved in complexity and have brought them to …""";;;
"S3C2 Summit 2025-03: Industry Secure Supply Chain Summit,""E Lin, J Ghebremichael, W Enck, Y Acar…"",""2025.0"",""arXiv preprint arXiv …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… S3C2 researchers and experts in software supply chain security. The remaining sections of … of SBOM results. There was a growing concern that developers checking off the SBOM box …""";;;
"SoK: Understanding CI/CD Security: A Comprehensive Review of Architecture, Attacks, and Defenses,""R Zmuda, R Graves, M Shepherd…"",""2025.0"",""2025 IEEE Secure …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… necessary to mitigate supply chain attacks. Additionally, the … Software Bill of Materials (SBOM) generation tools perform … SBOM tools also provide valuable insight into securing the …""";;;
"A Decision Support Model for Software Composition Analysis Tools,""F Wouters"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… In response to growing concerns about software supply chain security, regulatory initiatives … is an essential feature of an SBOM [54]. An SBOM is useful to those who develop or …""";;;
"Managing Software Supply Chains,""Y Wang, SC Cheung, H Yu, Z Zhu"",""2025.0"","""",""5"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""Open-source software supply chains wield significant influence in the software industry, drawing substantial interest from enterprises, researchers, and policymakers. Leveraging third-…""";;;
"A Systematic Method for Constructing ICT Supply Chain Security Requirements,""Y Wei, J Zheng, H Zhong"",""2023.0"",""International Symposium on Emerging …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… (and defenders) the potential for supply chain attacks. Surveys by the World Economic Forum … product visibility and traceability, SBOM is a useful tool. Therefore, SBOM is selected as a …""";;;
"S3C2 Summit 2024-08: Government Secure Supply Chain Summit,""C Miller, W Enck, Y Acar, M Cukier…"",""2025.0"",""arXiv preprint arXiv …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… US government in improving software supply chain security. … and challenges with software supply chain security";" (2) to help … A participant noted that newer SBOM standards can have …""";;
"Boms away! inside the minds of stakeholders: A comprehensive study of bills of materials for software systems,""T Stalnaker, N Wintersgill, O Chaparro…"",""2024.0"",""Proceedings of the 46th …"",""102"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… to increasing SBOM awareness and developing SBOM for… related to the SBOM content, deficiencies in SBOM tools, SBOM … faster because of CycloneDX and SPDX having this kind of …""";;;
"Software bills of materials in Maven Central,""Y Gamage, NG Fernandez…"",""2025.0"",""2025 IEEE/ACM 22nd …"",""6"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… in 2019 with the release node org.spdx:spdx-tools:2.1.17. In … guidelines to improve software supply chain security, which … of the SBOM generation tools SPDX and CycloneDX. They …""";;;
"Supply Chain Sof tware Security,""A Syed"",""2024.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Writing this book on software supply chain security has been a journey of exploration, collaboration, and learning, and it would not have been possible without the support and …""";;;
"Disclosure of Software Supply Chain Risks,""S Romanosky, JW Welburn"",""2022.0"","""",""3"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… , here we examine contemporary financial and SBOM disclosures for SEC consideration to … SEC could implement to help address software supply chain security. This Perspective was …""";;;
"Towards a new supply chain cybersecurity risk analysis technique,""SL Eggers"",""2021.0"","""",""2"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… While supply chain attacks are prevalent, methods for analyzing the risk of these attacks are currently unavailable. This paper proposes new supply chain cyber-attack difficulty and risk …""";;;
"Software Composition Analysis for Proactive Threat Detection in Software Dependencies with Real-Time Security Monitoring,""U Reddy, S Udhayakumar…"",""2025.0"",""2025 2nd International …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… and industry-relevant solution for software supply chain security. It shows promise for hardening … for user requests for repository analysis, SBOM generation, and vulnerability scanning. It …""";;;
"Software Supply Chain Resilience in 2025: A Comparative Analysis of Major Incidents Using OSINT Methodologies,""A STĂNCIULESCU, IC Bacivarov"",""2025.0"",""International Journal of Information …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Software supply chain attacks represent one of the most critical cyber threats today, due to … software libraries - transforming software supply chain attacks chain into a systemic vector of …""";;;
"A Proposal of a Supply Chain Security Model for Generative AI,""KY Lee, J Yoo"",""2024.0"",""International Conference on Information Security …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… This has led to a rise in supply chain attacks leveraging … are particularly vulnerable to supply chain attacks due to their … create A software bill of materials (SBOM) at each stage of the SW …""";;;
"Enhancing visibility of components and dependencies across diverse it environments with open-source software-bill-of-materials generation tools,""O Sorocean, V Ayala-Rivera…"",""2024.0"",""2024 12th …"",""3"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… These acts underscore the growing recognition of SBOMs as a critical tool for enhancing software supply chain security and resilience in the face of evolving cyber threats. While SBOM …""";;;
"The state of software diversity in the software supply chain of ethereum clients,""N Jönsson"",""2022.0"","""",""3"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Software supply chain attacks are one of the most prevalent methods used by malicious actors in order to compromise software, and a growing concern for both developers and policy …""";;;
"OmniBOR: A System for Automatic, Verifiable Artifact Resolution across Software Supply Chains,""B Seshadri, Y Han, C Olson, D Pollak…"",""2024.0"",""arXiv preprint arXiv …"",""3"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Software supply chain attacks, which exploit the build process or artifacts used in the process … • Using the ADG, we show how an SPDX SBOM can be created. We also show how a CVE …""";;;
"An Achilles heel of today's armed forces: Managing software supply chain risk in the military sector,""A Paulus"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… In third-party supply chain attacks, threat actors who are not part of the supply chain of a software product gain access to an entity that is part of the chain in order to compromise another …""";;;
"Software Supply Chain Resiliency,""VL Narasimhan, S Ramaswamy…"",""2024.0"",""ICT: Applications and …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… This is often accomplished through initiatives such as the Software Bill of Materials (SBOM). However, in general the standards that would make SBOMs easy to use and support the …""";;;
"Software security analysis in 2030 and beyond: A research roadmap,""M Böhme, E Bodden, T Bultan, C Cadar, Y Liu…"",""2025.0"",""ACM Transactions on …"",""25"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… In response to the escalating software supply chain security threats, the community and … products by delineating regulations on adopting the SBOM for software products, such as the …""";;;
"Software composition analysis and supply chain security in apache projects: an empirical study,""S Nocera, S Vegas, G Scanniello…"",""2025.0"",""2025 IEEE/ACM 22nd …"",""4"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Software supply chain attacks involve the exploitation of … To manage the software supply chain security, developers can … using them at all for software supply chain security. This is also …""";;;
"Dependency Network Structure and Security Vulnerabilities in Software Supply Chains,""E Yoo, CW Craighead, S Samtani"",""2025.0"",""Journal of Management …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Our results offer insights into how the structure of dependency networks shapes software supply chain security, yielding several contributions. First, our findings reveal distinct and …""";;;
"Assessing the threat level of software supply chains with the log model,""L Soeiro, T Robert, S Zacchiroli"",""2023.0"",""2023 IEEE International …"",""5"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… of the SPDX specification [23]. Additionally, even a comprehensive SBOM only captures a static … : A review of open source software supply chain attacks,” in Detection of Intrusions and …""";;;
"SCA Tools-SCRM Value Add or Lossy Noise Machines,""RJ Erbes, M Gallegos"",""2024.0"","""",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… ▪Goal: To identify commercial SCA/SBOM tools that can quickly enumerate components in firmware binaries and produce an SBOM equivalent to manual analysis in less time. …""";;;
"Securing Machine Learning Supply Chains,""JD Strubel"",""2021.0"","""",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""Recent cyber-attacks on supply chains such as the large-scale SolarWinds attack are gaining the attention of cybersecurity experts. Supply chain attacks are growing in frequency and …""";;;
"Feasibility evaluation of software composition analysis tools for unmanaged embedded medical software,""A Pohja"",""2024.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Listing 1 illustrates a CycloneDX formatted SBOM. Although it might be easier to have only … underlines the growing awareness towards software supply chain security, the main topic of …""";;;
"OSS Supply-chain Security: What Will It Take?,""M Kaczorowski, F Momot, GV Neville-Neil, C McCubbin"",""2022.0"",""Queue"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… , who was the senior director of software supply-chain security at GitHub prior to turning her … various dependencygraph management tools that the SBOM [software bill of materials] folks …""";;;
"Securing the AI Supply Chain: What Can We Learn From Developer-Reported Security Issues and Solutions of AI Projects?,""TA Nguyen, THM Le, MA Babar"",""2025.0"",""arXiv preprint arXiv:2512.23385"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""The rapid growth of Artificial Intelligence (AI) models and applications has led to an increasingly complex security landscape. Developers of AI projects must contend not only with …""";;;
"Qualitative Delphi Study: Gaining Consensus on Cybersecurity Frameworks for Software Supply Chain Defense,""JR Wellington"",""2023.0"","""",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… The ICT supply chain includes hardware and software supply chains as subparts";" however, this study focuses on software supply chain attacks reserving hardware supply chain attacks …""";;
"Software supply chain resiliency at scale,""VL Narasimhan, S Ramaswamy, O Mphale"",""2023.0"",""International Conference on …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… to software supply chain security, indicates that answering even basic questions about software supply chain security … as the Software Bill of Materials (SBOM). However, in general the …""";;;
"Using FIDO-based Authentication to Improve the Security of Software Supply Chains,""K Luke, K Mayes, T Kondo, S Kai…"",""2025.0"",""Journal of Information …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Based on our survey of current software supply chain security practices, we define a … data, including other software supply chain security mechanisms such as SBOM. Although many of …""";;;
"BOMMER: An LLM-based Bill of Materials Machine Evaluated Report Tool,""M Buslon, SR Breckling, Y Kim, JY Jo"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… software supply chain security … SBOM implementation, such as the usability of SBOM for nonexperts and the need to consider scalability to tackle the need for continuous SBOM …""";;;
"Infrastructure eXpression for Codified Cyber Attack Surfaces and Automated Applicability,""R Foster, Z Priest, M Cutshaw"",""2021.0"",""2021 Resilience Week (RWS)"",""5"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… pushed industry to create SBoM as one potential mitigation check to supply chain attacks. Using the data stored in the STIX SDOs and SCOs, the creation of a SBoM and HBoM can be …""";;;
"Open Source Supply Chain Security: a Cost-Benefit Analysis of Achieving Various Security Thresholds in Build Environments,""C Retterer"",""2024.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… 2 for a description of some possible supply chain attacks. … majority of open source supply chain attacks, while offering a … artifacts to helping develop the SBOM, a piece of documentation …""";;;
"SCORED'25: Workshop on Software Supply Chain Offensive Research and Ecosystem Defenses,""ASA Yelgundhalli, B Hassanshahi, D Roellke…"",""2025.0"",""Proceedings of the …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… The Workshop on Software Supply Chain Offensive Research and Ecosystem Defenses (SCORED) is the leading academic venue focused solely on software supply chain security …""";;;
"Web3 and Supply Chain Risks,""J Huang, K Huang, S Heide"",""2024.0"",""… and New Security Landscape: Theories and …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… The concept of an SBOM has gained significant attention in the context of software supply chain security, especially following high-profile software supply chain attacks. Governmental …""";;;
"A 'Window Sticker'for Software,""A Isles"",""2025.0"",""Lawfare"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… That means the software supply chain security problem goes back dozens or even … increased binary and SBOM analysis, pen testing, and heightened continuous monitoring. …""";;;
"Software Dependency Discovery: Hidden vulnerabilities within third-party libraries,""F Posluk"",""2024.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… to create the SBOM. • CyclobeDX-Maven-plugin Cyclone-Maven-plugin is also an automatic tool that produces an SBOM according to the CycloneDX standard [11]. The SBOM includes …""";;;
"AI Bill of Materials and Beyond: Systematizing Security Assurance through the AI Risk Scanning (AIRS) Framework,""S Nathanson, A Lee, CC Kieffer, J Junkin, J Ye…"",""2025.0"",""arXiv preprint arXiv …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… across the disciplines of software supply-chain security, adversarial machine learning, and … SBOM standards—SPDX 3.0 and CycloneDX 1.6. We observe strong alignment with SPDX …""";;;
"Towards System-of-Systems Bill of Material Solution for Vulnerability Operational Impact Analysis,""L Tesson, J El Hachem, P Guillou…"",""2025.0"",""2025 IEEE 24th …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Supply chain attacks have increased by 430% in 2023 [1], with … 6.7.2.2 and NIS2 promote the use of SBOM [4], an artifact … Note that our definition of a SBOM narrows existing im…""";;;
"Secure Software Supply Chain Engineering and Dependency Risk Management,""A Oyatomi"",""2022.0"",""Available at SSRN 6623318"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… dependencies and the software bill of materials (SBOM) frameworks, some efforts to improve … the practical implementation of software supply chain security. Organizations must be …""";;;
"Implementation of Secure SW Development Lifecycle Framework,""BCK RAPCANOVÄ"","""",""is.muni.cz"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… , and there is also no comprehensive SBOM describing all the different open-source and third-party components. Supply chain attacks are more likely if the SBOM is not up-to-date, as …""";;;
"A Study on Software Supply Chain Risk Management Policies and Techniques Suitable for Korean Military Environment,""JK Ahn, S Kim"",""2025.0"",""Journal of the Korea Institute of …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""""";;;
""" always contribute back"": A qualitative study on security challenges of the open source supply chain,""D Wermke, JH Klemmer, N Wöhler…"",""2023.0"",""… IEEE Symposium on …"",""47"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… maintaining a Software Bill of Materials (SBOM): “We do regular … for improving the software supply chain security of their … ideas for improving the software supply chain security of their …""";;;
"Cards and Stacks: A Dynamic, Asset-Centric and Machine Learning-Enhanced Approach to Cyber Vulnerability Management,""A Shaaban"",""2024.0"","""",""3"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… To help address these challenges, the concept of a Software Bill of Materials (SBOM) has … (ABOM)–an extension and generalization of the SBOM concept–as a method to describe all …""";;;
"A Multi-Dimensional Indicator-Based Cybersecurity Assessment Model for Critical industries ICT Suppliers,""S Wang, Y Chen, Y Liu, Y Tian, X Ma"",""2025.0"",""Proceedings of the 2025 2nd …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… MITRE’s case study on typical supply chain attacks further revealed that the detection … The SBOM coverage indicator leverages standards like the SPDX format to parse the software bill …""";;;
"CBOMbench: A Cryptographic Bill of Materials Evaluation and Benchmarking Tool,""S Egli"","""",""seg.inf.unibe.ch"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… as critical tools for managing software supply chain security, providing … SBOM and CBOM imply that they can be used in a complementary way to achieve software supply chain security…""";;;
"Developing the Role of the System Software Integrator to Mitigate Digital Infrastructure Vulnerabilities,""B Kemper"",""2023.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… There has been a 742% average annual increase in software supply chain attacks on OSS … the SBOM are in development and will continue to change. A key measure of the SBOM's …""";;;
"Software Identification for Cybersecurity: Survey and Recommendations for Regulators,""O Barais, R Di Cosmo, L Mé, S Zacchiroli, O Zendra"",""2025.0"","""",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Global momentum around software supply chain security has increased over the last few … define a standard SBOM format. An “SPDXID” references each file or package in an SBOM, but …""";;;
"Evaluation and Improvement of C Based Dependency Ecosystems in SCA Tool,""J Wang"","""",""oss.cs.fau.de"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… The Software Bill of Materials (SBOM) has become the cornerstone of modern software supply chain security. An SBOM lists all components, dependencies, and their versions within a …""";;;
"Build and Runtime Integrity for Java,""A Sharma"",""2025.0"",""2025 IEEE/ACM 47th International Conference on …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… SBOM.exe [15] is a prototype of the tool that we plan to evaluate. We evaluate SBOM.exe by showing that it is effective in mitigating software supply chain attacks, compatible with real-…""";;;
"Comprehensive Analysis and Recommendation of Supply Chain Risk Management Framework for the Military Domain,""JK Ahn, K Cho, K Seo, HJ Kim, S Kim"",""2025.0"",""IEEE Access"",""2"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… is not necessary to carry out supply chain attacks. Consequently, the … An SBoM is essentially an inventory of components in … Organizations use SBoM tools to automatically generate and …""";;;
"Slopsquatting assurance: Auditing AI's New Supply Chain Threat,""TE Armstrong"",""2025.0"",""EDPACS"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… As the table delineates, this progression involves strengthening not just preventative controls like automated SBOM generation and CI/CD scanners, but also detective and responsive …""";;;
"SW 공급망 보안을 위한 CodeQL 활용 오픈소스 SCA 제안,""정윤영, 유승준, 김수연, 김수현, 안세은…"",""2024.0"",""한국정보통신학회 종합 …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… software supply chain security, this paper analyzes the limitations of Software Bill of Materials (SBOM) and … cross-system compatibility by supporting the SBOM standard. In addition, it …""";;;
"Integrating Open-Source Dependency Scanning into Software Development Life Cycle,""O Karpoja"",""2024.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Software bill of materials (SBOM) is a report on all the dependencies and libraries used in … Supports the build-info and generation of SBOM from components used in the software project…""";;;
"Integrating Zero Trust in the cyber supply chain security,""TMS do Amaral, JJC Gondim"",""2021.0"",""2021 Workshop on …"",""34"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… of countering cyber supply chain attacks. … SBOM may also be helpful to identify recently discovered vulnerabilities in now obsolete components. It is important to standardize the SBOM …""";;;
"Tracking Down Software Cluster Bombs: A Current State Analysis of the Free/Libre and Open Source Software (FLOSS) Ecosystem,""S Tatschner, MP Heinl, N Pappler, T Specht…"",""2025.0"",""arXiv preprint arXiv …"",""1"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… with Software Bill of Materials (SBOM) and ensure a good … projects that are susceptible to supply chain attacks. This study … SBOMs created according to SPDX and CycloneDX both …""";;;
"Operationalising Safe and Responsible AI: A System Level Perspective,""B Xia"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… associated with Software Bill of Materials (SBOM), this contribution identifies critical gaps in … A blockchain-based architecture is proposed to enable secure and tamper-resistant SBOM/…""";;;
"Two decades of secure software development,""E Poll"",""2025.0"","""",""2"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… supply chain risks is the SBOM (Software Bill of Materials). An SBOM is a machine-readable … [47] aimed at tackling the software supply chain security. More standards with security …""";;;
"Identifying the Supply Chain of AI for Trustworthiness and Risk Management in Critical Applications,""RK Sheh, K Geappen"",""2025.0"",""Proceedings of the AAAI Symposium Series"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… This reflects the increasing prevalence and severity of supply chain attacks, as well as more … In recent years, both SPDX and CycloneDX have added fields relating to machine-learned …""";;;
"Managing Software Dependency Risks in Web Applications,""A Scott"",""2025.0"","""",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… Provided by the package supplier, this SBOM supports an … and generate the SBOM, in cases where a downstream SBOM is not … To further improve software supply chain security, the …""";;;
"Toward Cybersecurity Testing and Monitoring of IoT Ecosystems,""S Taylor, P Melas, MG Jaatun, A Omerovic…"",""2025.0"",""arXiv preprint arXiv …"",""2"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""… by the SBOM generation tool that has analysed the router DUT and provided an SBOM. The … A second critical challenge is posed by supply chain attacks. As defined in Kotolov (2021), a …""";;;
"Making Zero-Days Hard: A Deployment-Oriented Review of Preventive Defences,""P Kasiraju, H Golusu, BP Kavin"",""2025.0"",""… International Conference on …"",""0"",""Q04"",""Excluded at T&A"",""EXCLUDE"",""Title no match"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""N/A"",""Exploitation of previously unjammed vulnerabilities in functioning environments is known as zero-day exploitation and is a constant challenge in the cybersecurity arena. This review …""";;;
